"POSITION/AUFTRAGSNR.";"K/V";"ANZAHL";"BETRAG";"KURS";"WECHSELKURS";"MARGIN";"GESAMT-PERF. G&V - %";"GESAMT-PERF. G&V - Pkt.";"GESAMT G&V";"STOP-LOSS";"TAKE-PROFIT";"VERKAUF";"KAUF"
"EUR/USD";"K";"4.849";"4.849,00";"1,20575";"0,83396";"161,96";"-0,05 %";"7,1";"-2,87";"(G) 1,19858";"-";"1,20504";"1,20511"
"O3-8S-5JZWT1 / 16:33";"K";"4.849";"4.849,00";"1,20575";" ";"161,96";"-0,05 %";"7,1";"-2,87";"(G) 1,19858";"-";"1,20504";"1,20511"
"US 30 - Jun 2021";"K";"0,175";"4.999,03";"34.118,3";"0,82568";"248,91";"0,46 %";"160";"23,11";"(G) 33.913,1";"-";"34.278,3";"34.281,8"
"O3-8S-5JXF13 / 05 Mai 2021";"K";"0,175";"4.999,03";"34.118,3";" ";"248,91";"0,46 %";"160";"23,11";"(G) 33.913,1";"-";"34.278,3";"34.281,8"
"US NDAQ 100 - Jun 2021";"K";"1,3388";"14.994,45";"13.436,6";"0,82568";"751,92";"0,72 %";"98,649";"109,04";"[2]";"[2]";"13.535,6";"13.537,6"
"O3-8S-5JZWZ5 / 16:34";"K";"0,6696";"7.500,41";"13.437,3";" ";" ";"0,72 %";"98";"54,18";"13.385,4";"14.270,8";"13.535,6";"13.537,6"
"O3-8S-5JZT6Y / 16:31";"K";"0,6692";"7.494,03";"13.436,0";" ";" ";"0,73 %";"99,3";"54,86";"13.484,5";"13.988,2";"13.535,6";"13.537,6"
"US SPX 500 - Jun 2021";"K";"1,295";"4.484,89";"4.152,79";"0,82568";"224,11";"0,73 %";"308,5258";"19,01";"[4]";"-";"4.170,58";"4.171,18"
"O3-8S-5JN54Y / 05 Mai 2021";"K";"0,143";"498,19";"4.158,18";" ";"24,75";"0,29 %";"124";"1,46";"(G) 4.119,89";"-";"4.170,58";"4.171,18"
"O3-8S-5JN58J / 16:00";"K";"0,143";"494,47";"4.150,27";" ";" ";"0,48 %";"203,1";"2,39";"4.119,89";"-";"4.170,58";"4.171,18"
"O3-8S-5JN57B / 16:18";"K";"0,288";"994,46";"4.143,53";" ";" ";"0,64 %";"270,5";"6,43";"4.119,99";"-";"4.170,58";"4.171,18"
"O3-8S-5JZXJ8 / 16:38";"K";"0,721";"2.497,76";"4.155,93";" ";" ";"0,35 %";"146,5";"8,72";"4.120,08";"-";"4.170,58";"4.171,18"